Technique,Technique_Type,Mean_Restructuring_Signal,S_CC_Pearson,S_CC_Spearman,S_CC_Pairwise,S_CC_Layer,S_CC_Variance,Num_Layers,Rank_Pearson,Rank_Spearman,Rank_Pairwise,Rank_Layer,Rank_Variance,S_CC_Aggregate,Rank
Attention Entropy Analysis,Layer-wise scalar,0.06327484418948491,0.20424993630864532,0.2419880922502912,0.6497435897435897,0.9955611812550411,0.10104255459296518,24,1.0,1.0,1.0,5.0,3.0,2.2,1
Layer-wise Activation Distance,Layer-wise scalar,0.08949412058256222,0.17139197071196455,0.15545278843613416,0.6010256410256409,0.9961348679773636,0.10454885811973343,25,4.0,3.0,2.0,2.0,2.0,2.6,2
Cosine Similarity,Layer-wise scalar,0.004321775007247045,0.17518206336442618,0.15545278843613416,0.6010256410256409,0.9961348679773636,0.005695653178219524,25,2.0,3.0,2.0,2.0,5.0,2.8,3
CKA Similarity,Layer-wise scalar,0.008619328385704714,0.17515027768933122,0.15553506738585413,0.6010256410256409,0.9961129208358288,0.011356262273521413,25,3.0,2.0,2.0,4.0,4.0,3.0,4
Subspace-oriented Representational Analysis,Layer-wise scalar,0.13586732204775573,0.08214171441280875,0.09060462289581346,0.5261538461538462,0.9988057605837439,0.2208080142027486,25,5.0,5.0,5.0,1.0,1.0,3.4,5
