Pair_ID,Layer,CosineSimilarity,LayerwiseActivationDistance,AttentionEntropy,SubspaceSimilarity,CKASimilarity
CC-001,0,0.5467935800552368,0.6795608997344971,0.00141143798828125,0.37681293670601834,0.7398865099268
CC-001,1,0.6314710378646851,7.096960067749023,0.007033348083496094,0.21025236262602665,0.9745483746144329
CC-001,2,0.5551079511642456,9.37124252319336,0.008969306945800781,0.23546229914595979,0.9905118054997686
CC-001,3,0.4934588074684143,11.701133728027344,0.0030603408813476562,0.24819933425912843,0.9988893976727226
CC-001,4,0.4523845911026001,14.014893531799316,0.00917816162109375,0.25427495783915594,0.9987369249504858
CC-001,5,0.4272029399871826,16.59984016418457,0.008769989013671875,0.23491439977454381,0.9980292738902341
CC-001,6,0.4047027826309204,18.749065399169922,0.0065631866455078125,0.22339907717545912,0.9980072972424496
CC-001,7,0.39681148529052734,21.361835479736328,0.0036630630493164062,0.20117227023447953,0.9961032977494925
CC-001,8,0.3804301619529724,23.807886123657227,0.0019235610961914062,0.21962872681614398,0.9937398712464173
CC-001,9,0.36448636651039124,25.73521614074707,0.0022878646850585938,0.20432928133180592,0.9930966674844651
CC-001,10,0.37665435671806335,27.922359466552734,0.003437042236328125,0.22048239473793305,0.9898759129076746
CC-001,11,0.3685455322265625,30.271381378173828,0.008959770202636719,0.21853392786288875,0.988819247958334
CC-001,12,0.36923131346702576,32.61927795410156,0.005162239074707031,0.19904995938133846,0.9867432642065052
CC-001,13,0.39297008514404297,35.022193908691406,0.0032758712768554688,0.2173935367935699,0.9839151034833231
CC-001,14,0.3888500928878784,37.39507293701172,0.002460479736328125,0.2255109460558833,0.981746454060483
CC-001,15,0.39131712913513184,40.96363067626953,4.76837158203125e-06,0.22820214674119885,0.9756295517410218
CC-001,16,0.37772679328918457,45.68232727050781,0.0021448135375976562,0.2439353463424319,0.963086689667075
CC-001,17,0.36267203092575073,51.766510009765625,0.0027866363525390625,0.19793643568044147,0.9429823848706212
CC-001,18,0.36469680070877075,59.458984375,0.0026760101318359375,0.19302145800676507,0.9014159155067812
CC-001,19,0.366877019405365,66.60054779052734,0.00130462646484375,0.17849187471625474,0.8535433164689149
CC-001,20,0.37534046173095703,74.13435363769531,0.0020437240600585938,0.15298618329909097,0.7930957712401772
CC-001,21,0.39416468143463135,84.0813217163086,0.0056362152099609375,0.10283228312287004,0.6575606634032279
CC-001,22,0.40237122774124146,97.36318969726562,0.005019187927246094,0.06937517560683829,0.37122861266816887
CC-001,23,0.468677282333374,114.46367645263672,0.007525444030761719,0.053255805719450884,0.16232957353054142
CC-001,24,0.2867908477783203,318.96917724609375,0.006575584411621094,0.007100224120835281,0.061605730993737104
CC-002,0,0.5233597755432129,0.7010325193405151,0.0027294158935546875,0.39783379457342427,0.7630479589118062
CC-002,1,0.6047855019569397,7.359359264373779,0.016167640686035156,0.17340482341804253,0.9833866943632609
CC-002,2,0.5302385091781616,9.67933177947998,0.013471603393554688,0.19509122287878577,0.9931413194120032
CC-002,3,0.46292009949684143,12.241249084472656,0.0003032684326171875,0.2066160189120334,0.9990375375539399
CC-002,4,0.4226127564907074,14.680628776550293,0.0065517425537109375,0.2199684621445821,0.9989118709860406
CC-002,5,0.38801372051239014,17.56695556640625,0.007963180541992188,0.23222325706020125,0.9974787209729472
CC-002,6,0.3741647005081177,19.752792358398438,0.0015878677368164062,0.23109693278089233,0.9981401395966545
CC-002,7,0.36592644453048706,22.44805908203125,0.00023651123046875,0.20292149559851738,0.997179835328243
CC-002,8,0.35204046964645386,24.60708999633789,0.003208160400390625,0.2180900361830163,0.9964302235144856
CC-002,9,0.3400071859359741,26.722084045410156,0.00521087646484375,0.18423654746191,0.9956680863260563
CC-002,10,0.34843432903289795,28.769716262817383,0.009494781494140625,0.18832556324870994,0.9946425279687602
CC-002,11,0.3411005437374115,30.86302947998047,0.011227607727050781,0.23017472781241563,0.9936982629572345
CC-002,12,0.3424351215362549,33.42147445678711,0.010589599609375,0.2154735358121232,0.9922140667546562
CC-002,13,0.3684351146221161,35.856285095214844,0.007634162902832031,0.22128514932467677,0.9901857659004193
CC-002,14,0.36857229471206665,38.27250671386719,0.006348609924316406,0.23561606267232574,0.9881049325307169
CC-002,15,0.3756476044654846,42.1773796081543,0.005887031555175781,0.20139263963132867,0.980915340538447
CC-002,16,0.36697638034820557,47.186798095703125,0.0031499862670898438,0.18300949652625864,0.9685480262467114
CC-002,17,0.36036187410354614,53.641883850097656,0.004078865051269531,0.15441309602854247,0.9439149906292725
CC-002,18,0.35683995485305786,61.12237548828125,0.004782676696777344,0.17418962511892086,0.9047290327037172
CC-002,19,0.3552669584751129,68.29669189453125,0.0037965774536132812,0.17199652537953772,0.857329849816048
CC-002,20,0.35847222805023193,76.22853088378906,0.0016870498657226562,0.18872582014239817,0.8041128210384654
CC-002,21,0.3571407198905945,87.14069366455078,0.0008859634399414062,0.18729322445951865,0.6925785524275685
CC-002,22,0.3524256944656372,102.02015686035156,0.0018720626831054688,0.12585841421290234,0.4285653931092671
CC-002,23,0.4118926525115967,121.13107299804688,0.007504463195800781,0.057172775417700494,0.1730028632191295
CC-002,24,0.22439639270305634,332.73260498046875,0.015160560607910156,0.009502992212751414,0.056621684364318026
CC-003,0,0.5398353338241577,0.6797145009040833,0.001026153564453125,0.427467748288908,0.7982510108141934
CC-003,1,0.6239713430404663,7.216391563415527,0.02151203155517578,0.08387473681390993,0.9862478084849265
CC-003,2,0.5522364974021912,9.420559883117676,0.017848968505859375,0.119914432178232,0.9938521015016389
CC-003,3,0.4908631145954132,11.789520263671875,0.0047283172607421875,0.12230588443455093,0.9991105233505793
CC-003,4,0.46070340275764465,13.999375343322754,0.006995201110839844,0.12429506598144693,0.9989891248699242
CC-003,5,0.434826135635376,16.396427154541016,0.0064849853515625,0.1559857559453831,0.9983735174994237
CC-003,6,0.42103368043899536,18.493070602416992,0.00041675567626953125,0.13711685604952642,0.9984235196383587
CC-003,7,0.4118974208831787,21.019241333007812,0.0034551620483398438,0.14735734950012033,0.9973164429762537
CC-003,8,0.3978840112686157,23.19308090209961,0.0022974014282226562,0.2095148011838625,0.9961558211022132
CC-003,9,0.3929758667945862,25.040590286254883,0.003200531005859375,0.21387824691422128,0.9957411009234673
CC-003,10,0.401643842458725,27.05438995361328,0.0005311965942382812,0.2402395504720752,0.9942734087637852
CC-003,11,0.39718401432037354,29.216259002685547,0.003951072692871094,0.24479313090235222,0.9934028956708821
CC-003,12,0.3968043029308319,31.645954132080078,0.001766204833984375,0.22280931495090253,0.9918445941466298
CC-003,13,0.4224987328052521,34.19563293457031,0.0011472702026367188,0.238708327794164,0.9893891970957949
CC-003,14,0.4143637418746948,36.40714645385742,0.00022602081298828125,0.231177528737358,0.9874905958144244
CC-003,15,0.4176660180091858,39.927635192871094,0.0004405975341796875,0.19756681699434367,0.9821091795483435
CC-003,16,0.4041633605957031,44.668365478515625,0.0045185089111328125,0.17921308024786067,0.970754073743985
CC-003,17,0.3907831311225891,50.858734130859375,0.00641632080078125,0.152483456421679,0.9524798149259291
CC-003,18,0.3899117410182953,58.46642303466797,0.007969856262207031,0.12593562497981203,0.9152517054287281
CC-003,19,0.38689714670181274,65.66512298583984,0.005343437194824219,0.10748832507467473,0.8684800587770517
