,CosineSimilarity,LayerwiseActivationDistance,AttentionEntropy,SubspaceSimilarity,CKASimilarity
CosineSimilarity,1.0,-0.6384581396518864,0.03198530395750797,0.3788124011627162,0.2917487649438182
LayerwiseActivationDistance,-0.6384581396518864,1.0,0.046807783074980215,-0.5518367055098728,-0.7360198965791835
AttentionEntropy,0.031985303957507975,0.04680778307498022,0.9999999999999999,-0.08224303628992363,0.03954893010495769
SubspaceSimilarity,0.37881240116271614,-0.5518367055098728,-0.08224303628992363,1.0,0.44320091392014627
CKASimilarity,0.2917487649438182,-0.7360198965791835,0.03954893010495769,0.44320091392014627,1.0
