,CosineSimilarity,LayerwiseActivationDistance,AttentionEntropy,SubspaceSimilarity,CKASimilarity
CosineSimilarity,1.0,-0.5876709948201166,-0.029327291452931503,0.436552383378103,0.3343820292158556
LayerwiseActivationDistance,-0.5876709948201166,1.0,0.25303360645298795,-0.5559851911454421,-0.8393965714388942
AttentionEntropy,-0.029327291452931503,0.25303360645298795,0.9999999999999999,-0.14132611016118138,-0.2206468273914309
SubspaceSimilarity,0.436552383378103,-0.5559851911454421,-0.14132611016118138,0.9999999999999996,0.5181842124176346
CKASimilarity,0.3343820292158556,-0.8393965714388942,-0.2206468273914309,0.5181842124176346,1.0
