Bootstrap,Technique,S_CC_Pearson,S_CC_Spearman,S_CC_Pairwise,S_CC_Layer,S_CC_Variance,Num_Layers,S_CC_Pearson_Norm,S_CC_Spearman_Norm,S_CC_Pairwise_Norm,S_CC_Layer_Norm,S_CC_Variance_Norm,S_CC_Aggregate,Rank,Rank_Pearson,Rank_Spearman,Rank_Pairwise,Rank_Layer,Rank_Variance
0,Layer-wise Activation Distance,0.20961053713108593,0.23754493424975318,0.6220506220506221,0.2260501660573276,0.10785946190901131,25,0.963783581298039,0.8379676179841988,1.0,0.8720810256444467,0.4642949745307849,0.8276254398914938,1,4.0,3.0,1.0,3.0,3.0
0,Attention Entropy Analysis,0.21329043973989995,0.25797344224287067,0.5774345774345775,0.24054278068455273,0.11453650835974348,24,1.0,1.0,0.5873015873015872,1.0,0.4947461206756449,0.8164095415954463,2,1.0,1.0,4.0,1.0,2.0
0,CKA Similarity,0.21274901171956798,0.2377551572891578,0.6220506220506221,0.22616453383436605,0.01206640351281278,25,0.9946714394466988,0.8396350397969328,1.0,0.8730904921288861,0.02742390550206974,0.7469641753749174,3,2.0,2.0,1.0,2.0,4.0
0,Cosine Similarity,0.2127470018530698,0.23754493424975318,0.6220506220506221,0.2260501660573276,0.006053142467506698,25,0.994651658986624,0.8379676179841988,1.0,0.8720810256444467,0.0,0.740940060523054,4,3.0,3.0,1.0,3.0,5.0
0,Subspace-oriented Representational Analysis,0.1116817566976213,0.1318967423945321,0.513942513942514,0.1272475115484619,0.22532391864678752,25,0.0,0.0,0.0,0.0,1.0,0.2,5,5.0,5.0,5.0,5.0,1.0
1,Attention Entropy Analysis,0.2733019156515541,0.2994257789884279,0.7129666800481734,0.27748808137810654,0.10191951916574206,24,1.0,1.0,1.0,1.0,0.4539748764501381,0.8907949752900276,1,1.0,1.0,1.0,1.0,3.0
1,Layer-wise Activation Distance,0.21781040406360977,0.2153073462731607,0.6599759132878362,0.2023183378669113,0.10637059360142923,25,0.6373182126855563,0.5297201391874994,0.622857142857143,0.5347387250290586,0.4750267716886886,0.5599321982895893,2,2.0,2.0,2.0,2.0,2.0
1,CKA Similarity,0.21554487630632788,0.21527675864389895,0.6599759132878362,0.2022387787551662,0.011828852507879356,25,0.6225111614319734,0.5295491333143812,0.622857142857143,0.5342462958675759,0.02788016519427049,0.46740877973306877,3,4.0,4.0,2.0,4.0,4.0
1,Cosine Similarity,0.2155481225493477,0.2153073462731607,0.6599759132878362,0.2023183378669113,0.0059340535288446685,25,0.622532378248506,0.5297201391874994,0.622857142857143,0.5347387250290586,0.0,0.4619696770644414,4,3.0,2.0,2.0,2.0,5.0
1,Subspace-oriented Representational Analysis,0.12029861212522232,0.12055689744641132,0.5724608590927338,0.1159234991637581,0.21736748435536277,25,0.0,0.0,0.0,0.0,1.0,0.2,5,5.0,5.0,5.0,5.0,1.0
2,Attention Entropy Analysis,0.2576590334861645,0.2497594375771153,0.5714285714285714,0.22975944059423323,0.10388663412834506,24,1.0,1.0,1.0,1.0,0.454422211232903,0.8908844422465807,1,1.0,1.0,1.0,1.0,3.0
