Technique,Mean_Rank,Rank_STD,Rank_Stability,Min_Rank,Max_Rank,Mean_Aggregate_Rank,Aggregate_Rank_STD
Attention Entropy Analysis,1.054,0.2984694289202833,0.7701375001424026,1,4,0.8262898829491486,0.08078255650688526
Layer-wise Activation Distance,2.144,0.4596346375111432,0.685102952684874,1,5,0.4825900558178104,0.16221463247686305
CKA Similarity,3.285,0.4666636904667,0.6818195653850235,2,4,0.4003627949631601,0.16155614305713356
Subspace-oriented Representational Analysis,4.222,1.2209488113758087,0.450258013547161,2,5,0.2642365803730953,0.08720749670247165
Cosine Similarity,4.295,0.4690149251356507,0.680728277765904,3,5,0.39489677885907154,0.16158153913050968
