Technique,Technique_Type,S_CC_Pearson,S_CC_Spearman,S_CC_Pairwise,S_CC_Layer,S_CC_Variance,Num_Layers,Rank_Pearson,Rank_Spearman,Rank_Pairwise,Rank_Layer,Rank_Variance,S_CC_Pearson_Norm,S_CC_Spearman_Norm,S_CC_Pairwise_Norm,S_CC_Layer_Norm,S_CC_Variance_Norm,S_CC_Aggregate,Rank
Attention Entropy Analysis,Layer-wise scalar,0.20424993630864532,0.2419880922502912,0.5876923076923077,0.2268412611842395,0.10104255459296518,24,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.44324231745972675,0.8886484634919454,1
Layer-wise Activation Distance,Layer-wise scalar,0.17139197071196455,0.15545278843613416,0.5696703296703296,0.14633733578773445,0.10454885811973343,25,4.0,3.0,2.0,3.0,2.0,0.7309111124006867,0.4283701900666117,0.7132867132867113,0.42193667916112687,0.4595421874907586,0.550809376481179,2
CKA Similarity,Layer-wise scalar,0.17515027768933122,0.15553506738585413,0.5696703296703296,0.14639035858423616,0.011356262273521413,25,3.0,2.0,2.0,2.0,4.0,0.7616896047824091,0.42891370350352004,0.7132867132867113,0.422317412568535,0.026314662106546326,0.47050441924954434,3
Cosine Similarity,Layer-wise scalar,0.17518206336442618,0.15545278843613416,0.5696703296703296,0.14633733578773445,0.005695653178219524,25,2.0,3.0,2.0,3.0,5.0,0.761949912193339,0.4283701900666117,0.7132867132867113,0.42193667916112687,0.0,0.4651086989415577,4
Subspace-oriented Representational Analysis,Layer-wise scalar,0.08214171441280875,0.09060462289581346,0.5248351648351649,0.08757637013445022,0.2208080142027486,25,5.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2,5
