Technique,Metric_Key,Technique_Type,S_CC_Pearson,S_CC_Spearman,S_CC_Pairwise,S_CC_Layer,S_CC_Variance,Num_Layers,S_CC_Pearson_Norm,S_CC_Spearman_Norm,S_CC_Pairwise_Norm,S_CC_Layer_Norm,S_CC_Variance_Norm,S_CC_Aggregate,Rank,Rank_Pearson,Rank_Spearman,Rank_Pairwise,Rank_Layer,Rank_Variance
Attention Entropy Analysis,Attention_Entropy_Delta,Layer-wise scalar,0.20424993630864532,0.2419880922502912,0.6497435897435897,0.9955611812550411,0.10104255459296518,24,1.0,1.0,1.0,0.0,0.44324231745972675,0.6886484634919453,1,1.0,1.0,1.0,5.0,3.0
Layer-wise Activation Distance,Layerwise_Distance,Layer-wise scalar,0.17139197071196455,0.15545278843613416,0.6010256410256409,0.9961348679773636,0.10454885811973343,25,0.7309111124006867,0.4283701900666117,0.6058091286307047,0.17681389918484688,0.4595421874907586,0.48028930355472166,2,4.0,3.0,2.0,2.0,2.0
Subspace-oriented Representational Analysis,Subspace_Similarity,Layer-wise scalar,0.08214171441280875,0.09060462289581346,0.5261538461538462,0.9988057605837439,0.2208080142027486,25,0.0,0.0,0.0,1.0,1.0,0.4,3,5.0,5.0,5.0,1.0,1.0
CKA Similarity,CKA_Similarity,Layer-wise scalar,0.17515027768933122,0.15553506738585413,0.6010256410256409,0.9961129208358288,0.011356262273521413,25,0.7616896047824091,0.42891370350352004,0.6058091286307047,0.170049650476038,0.026314662106546326,0.39855534989984365,4,3.0,2.0,2.0,4.0,4.0
Cosine Similarity,Cosine_Similarity,Layer-wise scalar,0.17518206336442618,0.15545278843613416,0.6010256410256409,0.9961348679773636,0.005695653178219524,25,0.761949912193339,0.4283701900666117,0.6058091286307047,0.17681389918484688,0.0,0.3945886260151004,5,2.0,3.0,2.0,2.0,5.0
